Timestamp,DateTime,TEC1_Voltage(V),TEC2_Voltage(V),TEC3_Voltage(V),TEC4_Voltage(V),TEC5_Voltage(V),TEC6_Voltage(V),TEC7_Voltage(V),TEC8_Voltage(V)
1763713644.1278067,2025-11-21 16:27:24,0.000125000,0.000000000,0.000015625,-0.000148437,0.000328125,-0.000351562,0.000257813,0.000007813
1763713654.206328,2025-11-21 16:27:34,0.000000000,0.000000000,-0.000023438,-0.000148437,0.000335938,-0.000406250,0.000000000,0.000000000
1763713664.2868664,2025-11-21 16:27:44,0.000000000,0.000125000,0.000015625,-0.000148437,0.000335938,-0.000375000,-0.000054688,0.000000000
1763713674.368304,2025-11-21 16:27:54,0.000000000,0.000000000,-0.000015625,-0.000164063,0.000304687,-0.000375000,-0.000296875,0.000007813
1763713684.4464011,2025-11-21 16:28:04,0.000000000,0.000000000,0.000007813,-0.000156250,0.000335938,-0.000382813,0.000257813,0.000007813
1763713694.5244572,2025-11-21 16:28:14,0.000125000,0.000125000,0.000015625,-0.000171875,0.000265625,-0.000335938,-0.000085937,0.000007813
1763713704.604774,2025-11-21 16:28:24,0.000000000,0.000000000,0.000015625,-0.000140625,0.000289062,-0.000382813,-0.000296875,0.000000000
1763713714.6847937,2025-11-21 16:28:34,0.000000000,0.000000000,0.000000000,-0.000156250,0.000289062,-0.000375000,0.000000000,0.000000000
1763713724.7632189,2025-11-21 16:28:44,0.000000000,0.000000000,-0.000007813,-0.000195313,0.000226563,-0.000296875,-0.000007813,0.000007813
1763713734.8419034,2025-11-21 16:28:54,0.000000000,0.000000000,0.000023438,-0.000234375,0.000210937,-0.000257813,0.000015625,0.000000000
1763713744.9211261,2025-11-21 16:29:04,0.000000000,0.000000000,0.000015625,-0.000195313,0.000304687,-0.000406250,0.000000000,0.000007813
1763713754.9970977,2025-11-21 16:29:14,0.000000000,0.000000000,-0.000015625,-0.000171875,0.000250000,-0.000281250,-0.000093750,0.000000000
1763713765.0757005,2025-11-21 16:29:25,0.000125000,0.000125000,-0.000007813,-0.000132813,0.000242187,-0.000312500,-0.000062500,0.000000000
1763713775.1542737,2025-11-21 16:29:35,0.000000000,0.000000000,0.000039063,-0.000101563,0.000320313,-0.000320313,0.000054688,0.000007813
1763713785.232153,2025-11-21 16:29:45,0.000000000,0.000000000,0.000031250,-0.000132813,0.000265625,-0.000289062,-0.000093750,0.000000000
1763713795.310682,2025-11-21 16:29:55,0.000125000,0.000000000,0.000007813,-0.000109375,0.000304687,-0.000312500,-0.000070313,0.000000000
1763713805.389233,2025-11-21 16:30:05,-0.004875000,0.000000000,0.000007813,-0.000171875,0.000320313,-0.000351562,-0.000132813,0.000007813
1763713815.4695446,2025-11-21 16:30:15,0.000125000,0.000000000,-0.000015625,-0.000179687,0.000273438,-0.000281250,-0.000109375,0.000000000
1763713825.5465066,2025-11-21 16:30:25,0.000000000,0.000000000,0.000023438,-0.000148437,0.000273438,-0.000312500,0.000039063,0.000007813
1763713835.6254385,2025-11-21 16:30:35,0.000125000,0.000000000,0.000000000,-0.000148437,0.000281250,-0.000328125,-0.000070313,0.000000000
1763713845.7047024,2025-11-21 16:30:45,0.000125000,0.000125000,0.000000000,-0.000140625,0.000281250,-0.000289062,-0.000085937,0.000000000
1763713855.7838492,2025-11-21 16:30:55,0.000000000,0.000000000,-0.000007813,-0.000156250,0.000203125,-0.000320313,0.000000000,0.000007813
